Start conv=19, red footprints found: 1
d=1: frontier=12, visited=59, red_footprints=1 (+0), t=0s, mem=0MB
d=2: frontier=12, visited=651, red_footprints=1 (+0), t=0s, mem=0MB
d=3: frontier=12, visited=1245, red_footprints=1 (+0), t=0s, mem=1MB
d=4: frontier=12, visited=1774, red_footprints=1 (+0), t=0s, mem=1MB
d=5: frontier=12, visited=2363, red_footprints=1 (+0), t=0s, mem=1MB
d=6: frontier=12, visited=2950, red_footprints=1 (+0), t=0s, mem=1MB
d=7: frontier=12, visited=3536, red_footprints=1 (+0), t=0s, mem=2MB
d=8: frontier=12, visited=4024, red_footprints=1 (+0), t=0s, mem=2MB
d=9: frontier=12, visited=4458, red_footprints=1 (+0), t=0s, mem=2MB
d=10: frontier=12, visited=4883, red_footprints=1 (+0), t=0s, mem=2MB
d=11: frontier=12, visited=5347, red_footprints=1 (+0), t=0s, mem=3MB
d=12: frontier=12, visited=5779, red_footprints=1 (+0), t=0s, mem=3MB
d=13: frontier=12, visited=6271, red_footprints=1 (+0), t=0s, mem=3MB
d=14: frontier=12, visited=6657, red_footprints=1 (+0), t=0s, mem=3MB
d=15: frontier=12, visited=7063, red_footprints=1 (+0), t=0s, mem=3MB
d=16: frontier=12, visited=7445, red_footprints=1 (+0), t=0s, mem=4MB
d=17: frontier=12, visited=7819, red_footprints=1 (+0), t=1s, mem=4MB
d=18: frontier=12, visited=8187, red_footprints=1 (+0), t=1s, mem=4MB
d=19: frontier=12, visited=8550, red_footprints=1 (+0), t=1s, mem=4MB
d=20: frontier=12, visited=8864, red_footprints=1 (+0), t=1s, mem=4MB
d=21: frontier=12, visited=9194, red_footprints=1 (+0), t=1s, mem=4MB
d=22: frontier=12, visited=9532, red_footprints=1 (+0), t=1s, mem=5MB
d=23: frontier=12, visited=9920, red_footprints=1 (+0), t=1s, mem=5MB
d=24: frontier=12, visited=10363, red_footprints=1 (+0), t=1s, mem=5MB
d=25: frontier=12, visited=10858, red_footprints=1 (+0), t=1s, mem=5MB
d=26: frontier=12, visited=11373, red_footprints=1 (+0), t=1s, mem=5MB
d=27: frontier=12, visited=11819, red_footprints=1 (+0), t=1s, mem=6MB
d=28: frontier=12, visited=12328, red_footprints=1 (+0), t=1s, mem=6MB
d=29: frontier=12, visited=12838, red_footprints=1 (+0), t=1s, mem=6MB
d=30: frontier=12, visited=13345, red_footprints=1 (+0), t=1s, mem=6MB
d=31: frontier=12, visited=13786, red_footprints=1 (+0), t=1s, mem=7MB
d=32: frontier=12, visited=14198, red_footprints=1 (+0), t=1s, mem=7MB
d=33: frontier=12, visited=14623, red_footprints=1 (+0), t=1s, mem=7MB
d=34: frontier=12, visited=15067, red_footprints=1 (+0), t=1s, mem=7MB
d=35: frontier=12, visited=15571, red_footprints=1 (+0), t=1s, mem=7MB
d=36: frontier=12, visited=15969, red_footprints=1 (+0), t=1s, mem=8MB
d=37: frontier=12, visited=16387, red_footprints=1 (+0), t=1s, mem=8MB
d=38: frontier=12, visited=16778, red_footprints=1 (+0), t=1s, mem=8MB
d=39: frontier=12, visited=17126, red_footprints=1 (+0), t=1s, mem=8MB
d=40: frontier=12, visited=17464, red_footprints=1 (+0), t=1s, mem=8MB
d=41: frontier=12, visited=17785, red_footprints=1 (+0), t=1s, mem=8MB
d=42: frontier=12, visited=18151, red_footprints=1 (+0), t=1s, mem=9MB
d=43: frontier=12, visited=18544, red_footprints=1 (+0), t=1s, mem=9MB
d=44: frontier=12, visited=18939, red_footprints=1 (+0), t=1s, mem=9MB
d=45: frontier=12, visited=19349, red_footprints=1 (+0), t=1s, mem=9MB
d=46: frontier=12, visited=19809, red_footprints=1 (+0), t=1s, mem=9MB
d=47: frontier=12, visited=20324, red_footprints=1 (+0), t=1s, mem=10MB
d=48: frontier=12, visited=20891, red_footprints=1 (+0), t=1s, mem=10MB
d=49: frontier=12, visited=21478, red_footprints=1 (+0), t=1s, mem=10MB
d=50: frontier=12, visited=21995, red_footprints=1 (+0), t=1s, mem=10MB
d=51: frontier=12, visited=22534, red_footprints=1 (+0), t=2s, mem=11MB
d=52: frontier=12, visited=23073, red_footprints=1 (+0), t=2s, mem=11MB
d=53: frontier=12, visited=23612, red_footprints=1 (+0), t=2s, mem=11MB
d=54: frontier=12, visited=24062, red_footprints=1 (+0), t=2s, mem=11MB
d=55: frontier=12, visited=24489, red_footprints=1 (+0), t=2s, mem=12MB
d=56: frontier=12, visited=24914, red_footprints=1 (+0), t=2s, mem=12MB
d=57: frontier=12, visited=25358, red_footprints=1 (+0), t=2s, mem=12MB
d=58: frontier=12, visited=25862, red_footprints=1 (+0), t=2s, mem=12MB
d=59: frontier=12, visited=26260, red_footprints=1 (+0), t=2s, mem=13MB
d=60: frontier=12, visited=26678, red_footprints=1 (+0), t=2s, mem=13MB
d=61: frontier=12, visited=27070, red_footprints=1 (+0), t=2s, mem=13MB
d=62: frontier=12, visited=27423, red_footprints=1 (+0), t=2s, mem=13MB
d=63: frontier=12, visited=27751, red_footprints=1 (+0), t=2s, mem=13MB
d=64: frontier=12, visited=28047, red_footprints=1 (+0), t=2s, mem=13MB
d=65: frontier=12, visited=28334, red_footprints=1 (+0), t=2s, mem=14MB
d=66: frontier=12, visited=28648, red_footprints=1 (+0), t=2s, mem=14MB
d=67: frontier=12, visited=29012, red_footprints=1 (+0), t=2s, mem=14MB
d=68: frontier=12, visited=29431, red_footprints=1 (+0), t=2s, mem=14MB
d=69: frontier=12, visited=29902, red_footprints=1 (+0), t=2s, mem=14MB
d=70: frontier=12, visited=30390, red_footprints=1 (+0), t=2s, mem=14MB
d=71: frontier=12, visited=30792, red_footprints=1 (+0), t=2s, mem=15MB
d=72: frontier=12, visited=31209, red_footprints=1 (+0), t=2s, mem=15MB
d=73: frontier=12, visited=31780, red_footprints=1 (+0), t=2s, mem=15MB
d=74: frontier=12, visited=32265, red_footprints=1 (+0), t=2s, mem=15MB
d=75: frontier=12, visited=32798, red_footprints=1 (+0), t=2s, mem=16MB
d=76: frontier=12, visited=33322, red_footprints=1 (+0), t=2s, mem=16MB
d=77: frontier=12, visited=33782, red_footprints=1 (+0), t=2s, mem=16MB
d=78: frontier=12, visited=34212, red_footprints=1 (+0), t=2s, mem=16MB
d=79: frontier=12, visited=34650, red_footprints=1 (+0), t=2s, mem=17MB
d=80: frontier=12, visited=35103, red_footprints=1 (+0), t=2s, mem=17MB
d=81: frontier=12, visited=35621, red_footprints=1 (+0), t=2s, mem=17MB
d=82: frontier=12, visited=36031, red_footprints=1 (+0), t=2s, mem=17MB
d=83: frontier=12, visited=36458, red_footprints=1 (+0), t=2s, mem=17MB
d=84: frontier=12, visited=36868, red_footprints=1 (+0), t=2s, mem=18MB
d=85: frontier=12, visited=37228, red_footprints=1 (+0), t=2s, mem=18MB
d=86: frontier=12, visited=37593, red_footprints=1 (+0), t=3s, mem=18MB
d=87: frontier=12, visited=38007, red_footprints=1 (+0), t=3s, mem=18MB
d=88: frontier=12, visited=38423, red_footprints=1 (+0), t=3s, mem=18MB
d=89: frontier=12, visited=38775, red_footprints=1 (+0), t=3s, mem=18MB
d=90: frontier=12, visited=39134, red_footprints=1 (+0), t=3s, mem=19MB
d=91: frontier=12, visited=39521, red_footprints=1 (+0), t=3s, mem=19MB
d=92: frontier=12, visited=39923, red_footprints=1 (+0), t=3s, mem=19MB
d=93: frontier=12, visited=40383, red_footprints=1 (+0), t=3s, mem=19MB
d=94: frontier=12, visited=40893, red_footprints=1 (+0), t=3s, mem=19MB
