Loading phase1 end state...
Start: 86 blocks, conv=19
Start heuristic: 28
Start moves available: 91
  Interweave moves at start: 33

Beam search (wallclock 780s, width=800, depth<=30)...
[d=1] beam_in=91 kept=91 best_h_now=3 best_ever=3 visited=92 elapsed=0.0s
[d=2] beam_in=3892 kept=800 best_h_now=3 best_ever=3 visited=3984 elapsed=0.5s
[d=3] beam_in=39382 kept=800 best_h_now=3 best_ever=3 visited=43366 elapsed=5.5s
[d=4] beam_in=41413 kept=800 best_h_now=3 best_ever=3 visited=84779 elapsed=10.7s
[d=5] beam_in=41516 kept=800 best_h_now=3 best_ever=3 visited=126295 elapsed=16.1s
[d=6] beam_in=47019 kept=800 best_h_now=3 best_ever=3 visited=173314 elapsed=22.4s
[d=7] beam_in=41369 kept=800 best_h_now=3 best_ever=3 visited=214683 elapsed=28.5s
[d=8] beam_in=43696 kept=800 best_h_now=3 best_ever=3 visited=258379 elapsed=34.4s
[d=9] beam_in=42819 kept=800 best_h_now=3 best_ever=3 visited=301198 elapsed=40.4s
[d=10] beam_in=38364 kept=800 best_h_now=3 best_ever=3 visited=339562 elapsed=46.4s
[d=11] beam_in=40352 kept=800 best_h_now=3 best_ever=3 visited=379914 elapsed=51.6s
[d=12] beam_in=41740 kept=800 best_h_now=3 best_ever=3 visited=421654 elapsed=58.2s
[d=13] beam_in=40689 kept=800 best_h_now=3 best_ever=3 visited=462343 elapsed=63.7s
[d=14] beam_in=41191 kept=800 best_h_now=3 best_ever=3 visited=503534 elapsed=69.2s
[d=15] beam_in=41063 kept=800 best_h_now=3 best_ever=3 visited=544597 elapsed=74.8s
[d=16] beam_in=43497 kept=800 best_h_now=3 best_ever=3 visited=588094 elapsed=80.9s
[d=17] beam_in=45479 kept=800 best_h_now=3 best_ever=3 visited=633573 elapsed=87.2s
[d=18] beam_in=48308 kept=800 best_h_now=3 best_ever=3 visited=681881 elapsed=94.8s
[d=19] beam_in=46167 kept=800 best_h_now=3 best_ever=3 visited=728048 elapsed=104.5s
[d=20] beam_in=45191 kept=800 best_h_now=3 best_ever=3 visited=773239 elapsed=133.7s
[d=21] beam_in=47686 kept=800 best_h_now=3 best_ever=3 visited=820925 elapsed=190.8s
[d=22] beam_in=43480 kept=800 best_h_now=3 best_ever=3 visited=864405 elapsed=287.9s
[d=23] beam_in=43635 kept=800 best_h_now=3 best_ever=3 visited=908040 elapsed=299.3s
[d=24] beam_in=42456 kept=800 best_h_now=3 best_ever=3 visited=950496 elapsed=774.4s
